Lokalita,Slovenský názov,Latinský názov,Lokalita_druh,Lat,Lon,Početnosť,"Min, Hg (mg/kg SH)","Max, Hg (mg/kg SH)2","Min, THQ","Max, THQ2","Min, MSCQ (g/osoba/deň)","Max, MSCQ (g/osoba/deň)2",Hgmin-max (mg/kg SH),THQmin-max,MSCQmin-max (g/osoba/deň ČH),Link,Foto
Bačkov,Bedľa vysoká,Macrolepiota procera,Bačkov: Bedľa vysoká,"48,758670","21,605610",1,"0,497792","0,497792","0,032562","0,032562","421,862947","421,862947","0,498 - 0,498","0,033 - 0,033","421,9 - 421,9",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Bojná,Bedľa vysoká,Macrolepiota procera,Bojná: Bedľa vysoká,"48,617970","18,037450",15,"0,063883","4,572865","0,004179","0,299128","45,923070","3 287,259521","0,064 - 4,573","0,004 - 0,299","45,9 - 3287,3",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Čertov - Lamže,Bedľa vysoká,Macrolepiota procera,Čertov - Lamže: Bedľa vysoká,"49,282150","18,221170",3,"0,121892","1,958405","0,007973","0,128107","107,230118","1 722,836609","0,122 - 1,958","0,008 - 0,128","107,2 - 1722,8",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Čierny Balog - Vydrovo,Bedľa vysoká,Macrolepiota procera,Čierny Balog - Vydrovo: Bedľa vysoká,"48,742277","19,644890",1,"3,851893","3,851893","0,251967","0,251967","54,518648","54,518648","3,852 - 3,852","0,252 - 0,252","54,5 - 54,5",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Čierny Balog_Medveďov,Bedľa vysoká,Macrolepiota procera,Čierny Balog_Medveďov: Bedľa vysoká,"48,745900","19,612780",3,"2,236569","3,442163","0,146302","0,225165","61,008151","93,893817","2,237 - 3,442","0,146 - 0,225","61 - 93,9",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Dechtice_kameňolom,Bedľa vysoká,Macrolepiota procera,Dechtice_kameňolom: Bedľa vysoká,"48,567957","17,564734",7,"1,188161","3,694084","0,077722","0,241644","56,847652","176,743724","1,188 - 3,694","0,078 - 0,242","56,8 - 176,7",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Detvianska Huta - Komárno,Bedľa vysoká,Macrolepiota procera,Detvianska Huta - Komárno: Bedľa vysoká,"48,582204","19,601596",4,"0,056284","3,200712","0,003682","0,209370","65,610402","3 731,078104","0,056 - 3,201","0,004 - 0,209","65,6 - 3731,1",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Divina - Hucerovci,Bedľa vysoká,Macrolepiota procera,Divina - Hucerovci: Bedľa vysoká,"49,287750","18,691570",7,"1,840771","6,288936","0,120412","0,411383","33,391976","114,082632","1,841 - 6,289","0,12 - 0,411","33,4 - 114,1",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Donovaly - Polianka,Bedľa vysoká,Macrolepiota procera,Donovaly - Polianka: Bedľa vysoká,"48,866290","19,221718",2,"1,166000","3,257000","0,076272","0,213053","64,476512","180,102916","1,166 - 3,257","0,076 - 0,213","64,5 - 180,1",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Drozdovo_SKI,Bedľa vysoká,Macrolepiota procera,Drozdovo_SKI: Bedľa vysoká,"48,425666","18,550507",6,"1,116844","4,187962","0,073057","0,273950","50,143721","188,029841","1,117 - 4,188","0,073 - 0,274","50,1 - 188",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Duchonka,Bedľa vysoká,Macrolepiota procera,Duchonka: Bedľa vysoká,"48,669040","18,099310",9,"0,750449","3,007544","0,049090","0,196735","69,824415","279,832474","0,75 - 3,008","0,049 - 0,197","69,8 - 279,8",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Heľpa - Brestinka,Bedľa vysoká,Macrolepiota procera,Heľpa - Brestinka: Bedľa vysoká,"48,839015","19,970191",3,"3,734110","4,315613","0,244262","0,282300","48,660526","56,238300","3,734 - 4,316","0,244 - 0,282","48,7 - 56,2",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Hodruša - Hámre,Bedľa vysoká,Macrolepiota procera,Hodruša - Hámre: Bedľa vysoká,"48,469070","18,755280",21,"0,069396","2,854993","0,004539","0,186756","73,555347","3 026,111015","0,069 - 2,855","0,005 - 0,187","73,6 - 3026,1",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Hodruša-Hámre_Kopanice,Bedľa vysoká,Macrolepiota procera,Hodruša-Hámre_Kopanice: Bedľa vysoká,"48,442434","18,801284",2,"1,381811","3,017870","0,090389","0,197410","69,585502","151,974474","1,382 - 3,018","0,09 - 0,197","69,6 - 152",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Holčíkovce_vodná nádrž,Bedľa vysoká,Macrolepiota procera,Holčíkovce_vodná nádrž: Bedľa vysoká,"49,025640","21,709350",1,"3,271518","3,271518","0,214002","0,214002","64,190385","64,190385","3,272 - 3,272","0,214 - 0,214","64,2 - 64,2",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
Horné Opatovce,Bedľa vysoká,Macrolepiota procera,Horné Opatovce: Bedľa vysoká,"48,556650","18,861230",2,"1,396854","2,463067","0,091373","0,161118","85,259556","150,337831","1,397 - 2,463","0,091 - 0,161","85,3 - 150,3",https://www.nahuby.sk/atlas-hub/Macrolepiota-procera/bedla-vysoka/bedla-vysoka/ID3,
